rank,company,founded,employees,score,ceo,state,hq,industry
222,MONDI,1967,"1,001 - 5,000",66.17,Andrew King,Multiple Locations,Multiple Locations,Production and Processing of Raw and Building Materials
223,Tramwaje Szczecińskie,2009,>250,66.16,Krystian Wawrzyniak,West Pomerania,Szczecin,Transportation and Logistics
224,PGO,2008,"1,001 - 5,000",66.10,Łukasz Petrus,Silesia,Katowice,Production and Processing of Raw and Building Materials
225,Imperial Tobacco,1993,"1,001 - 5,000",66.02,Jorge Arias-Laso,Greater Poland,Jankowice,FMCG
226,Grupa ZIBI,1989,"501 - 1,000",66.01,Zbigniew Kazimierz Pietrzak,Mazovia,Warszawa,Retail
227,Geis PL,2006,201 - 500,66.00,Michal Martinovič,Łódź,Stryków,Transportation and Logistics
228,Grupa ORLEN,1999,"10,001 - 50,000",65.97,Daniel Obajtek,Mazovia,Płock,Oil and Gas
229,BNP Paribas,1919,"5,001 - 10,000",65.87,Przemysław Gdański,Mazovia,Warszawa,Banks and Financial Services
230,Caritas,1990,>250,65.84,Marcin Iżycki,Mazovia,Warszawa,Healthcare and Social
231,Konspol,1982,"1,001 - 5,000",65.83,Małgorzata Poręba,Multiple Locations,Multiple Locations,FMCG
232,Grupa PGNiG,1982,"10,001 - 50,000",65.83,Paweł Majewski,Mazovia,Warszawa,Oil and Gas
233,Sokołów,1976,"5,001 - 10,000",65.78,Bogusław Miszczuk,Mazovia,Sokołów Podlaski,FMCG
234,Sanok Rubber Company,1932,"1,001 - 5,000",65.76,Piotr Szamburski,Subcarpathia,Sanok,Production and Processing of Raw and Building Materials
235,PZU,1803,"10,001 - 50,000",65.76,Beata Kozłowska-Chyła,Mazovia,Warszawa,Insurance
236,Borg Automotive,1991,"1,001 - 5,000",65.75,Kim Andersen,Łódź,Zduńska Wola,Vehicle Construction and Sales
237,Bricoman,2007,"501 - 1,000",65.75,Arnaud Boule,Mazovia,Warszawa,Retail
238,MSU Group,2000,"1,001 - 5,000",65.74,Artur Adamczak,Kuyavia-Pomerania,Bydgoszcz,Business Services
