rank,company,founded,employees,score,ceo,state,hq,industry
103,HP,1939,>200,7.46,Enrique Lores,Singapore,Singapore,"IT, Internet, Software & Services"
104,Enterprise Singapore,2018,>200,7.46,Cheong Boon Png,Singapore,Singapore,Government Services
105,Singapore Health Services (SingHealth),1926,"10,001 - 50,000",7.46,Prof Ivy Ng,Singapore,Singapore,Healthcare & Social
106,Duke NUS,2000,>200,7.46,Dr Choong May Ling,Singapore,Singapore,Education
107,Challenger Technologies,1982,>200,7.45,Loo Leong Thye,Singapore,Singapore,Retail and Wholesale
108,Dyson,1993,>200,7.43,Roland Krueger,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
109,Hitachi,1910,>200,7.43,Toshiaki Higashihara,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
110,AIA Singapore,1931,>200,7.43,Lee Yuan Siong,Singapore,Singapore,Insurance
111,Singapore Exchange,1984,>200,7.43,Loh Boon Chye,Singapore,Singapore,Banking and Financial Services
112,Hewlett Packard Enterprise,1939,>200,7.42,Antonio Neri,Singapore,Singapore,"IT, Internet, Software & Services"
113,International Business Machines (IBM),1911,>200,7.42,Arvind Krishna,Singapore,Singapore,"IT, Internet, Software & Services"
114,Bosch Group,1958,>200,7.40,Martin Hayes,Singapore,Singapore,"Engineering, Manufacturing"
115,Nanyang Academy of Fine Arts,1938,>200,7.40,Tan-Soh Wai Lan,Singapore,Singapore,Education
116,City Developments,1963,>200,7.40,Sherman Kwek Eik Tse,Singapore,Singapore,Real Estate
117,Arup,1946,>200,7.38,s. Spalte P,Singapore,Singapore,Professional Services
118,Singapore Airlines,1972,>200,7.37,Goh Choon Phong,Singapore,Singapore,Transportation and Logistics
119,Goldman Sachs,1869,>200,7.37,David Solomon,Singapore,Singapore,Banking and Financial Services
120,Nanyang Technological University,1955,"1,001 - 5,000",7.37,Loreen Tan,Singapore,Singapore,Education
121,AXA,1816,>200,7.36,Jean Drouffe,Singapore,Singapore,Insurance
122,Changi Airport Group,1981,>200,7.36,Lee Seow Hiang,Singapore,Singapore,Transportation and Logistics
123,ACCRELIST,1986,"1,001 - 5,000",7.36,Terence Tea Yeok Kian,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
